20	22.3	26.9	2.3	90	110	125	0.026
25	28.5	33.7	2.6	90	110	125	0.026
32	37.2	42.4	2.6	110	125	140	0.026
40	43.1	48.3	2.6	110	125	140	0.026
50	54.5	60.3	2.9	125	140	160	0.026
65	70.3	76.1	2.9	140	160	180	0.026
80	82.5	88.9	3.2	160	180	200	0.026
100	107.1	114.3	3.6	200	225	250	0.026
125	132.5	139.7	3.6	225	250	280	0.026
150	160.3	168.3	4	250	280	315	0.026
175	184.7	193.7	4.5	280	315	355	0.026
200	210.1	219.1	4.5	315	355	400	0.026
225	234.5	244.5	5	355	400	450	0.026
250	263	273	5	400	450	500	0.026
300	312.7	323.9	5.6	450	500	560	0.026
350	344.4	355.6	5.6	500	560	630	0.026
400	393.8	406.4	6.3	560	630	670	0.026
450	444.6	457.2	6.3	630	670	710	0.026
500	495.4	508	6.3	670	710	800	0.026
550	546.2	558.8	6.3	710	800	900	0.026
600	595.8	610	7.1	800	900	1000	0.026
650	645.8	660	7.1	900	1000	0	0.026
700	695	711	8	900	1000	0	0.026
750	746	762	8	1000	1100	0	0.026
800	795.4	813	8.8	1000	1100	0	0.026
850	846.4	864	8.8	1100	1200	0	0.026
900	894	914	10	1100	1200	0	0.026
1000	994	1016	11	1200	1300	0	0.026
