25	27.3	33.7	3.2	90	110	125	0.027	225	227	230	184
32	36	42.4	3.2	110	125	140	0.027	238	240	243	192
40	41.9	48.3	3.2	110	125	140	0.027	253	255	258	205
50	53.9	60.3	3.2	125	140	160	0.027	274	276	279	220
65	69.7	76.1	3.2	140	160	180	0.027	309	313	319	246
80	82.5	88.9	3.2	160	180	200	0.027	325	330	337	254
100	107.1	114.3	3.6	200	225	250	0.027	373	379	389	280
125	132.5	139.7	3.6	225	250	280	0.027	430	438	452	316
150	160.3	168.3	4	250	280	315	0.027	488	502	522	350
200	210.1	219.1	4.5	315	355	400	0.027	617	636	667	415
250	263	273	5	400	450	500	0.027	775	807	845	480
300	312.7	323.9	5.6	450	500	560	0.027	924	959	1018	546
